MNN,LHL,HNN,MHS,LNL,MNL,LNN,LNS,MHL,HNL,MHN,LHN,MNS,HNS,LHS,HHS,HHN,HHL
0.19503546099290781,0.020094562647754138,0.050827423167848697,0.014184397163120567,0.10401891252955082,0.17139479905437352,0.14893617021276595,0.065011820330969264,0.023640661938534278,0.03664302600472813,0.041371158392434985,0.010638297872340425,0.080378250591016553,0.018912529550827423,0.0082742316784869974,0.0035460992907801418,0.0059101654846335696,0.0011820330969267139
0.23728813559322035,0,0,0.016949152542372881,0.13559322033898305,0.084745762711864403,0.13559322033898305,0.084745762711864403,0.050847457627118647,0.067796610169491525,0.050847457627118647,0.016949152542372881,0.084745762711864403,0.033898305084745763,0,0,0,0
0.20588235294117646,0.014705882352941176,0.049019607843137254,0.014705882352941176,0.10294117647058823,0.14705882352941177,0.15196078431372548,0.068627450980392163,0.014705882352941176,0.024509803921568627,0.034313725490196081,0.014705882352941176,0.11274509803921569,0.019607843137254902,0.0098039215686274508,0,0.0049019607843137254,0.0098039215686274508
0.18181818181818182,0,0.018181818181818181,0,0.14545454545454545,0.10909090909090909,0.16363636363636364,0.090909090909090912,0.036363636363636362,0.036363636363636362,0,0.036363636363636362,0.10909090909090909,0.054545454545454543,0,0,0.018181818181818181,0
0.21897810218978103,0.019464720194647202,0.041362530413625302,0.019464720194647202,0.10462287104622871,0.145985401459854,0.11678832116788321,0.068126520681265207,0.026763990267639901,0.043795620437956206,0.031630170316301706,0.012165450121654502,0.097323600973236016,0.017031630170316302,0.012165450121654502,0.0072992700729927005,0.0097323600973236012,0.0072992700729927005
0.20241691842900303,0.016616314199395771,0.049848942598187312,0.015105740181268883,0.10120845921450151,0.16163141993957703,0.12990936555891239,0.061933534743202415,0.028700906344410877,0.040785498489425982,0.033232628398791542,0.016616314199395771,0.10876132930513595,0.015105740181268883,0.0030211480362537764,0.0045317220543806651,0.0060422960725075529,0.0045317220543806651
0.20875420875420875,0.013468013468013467,0.043771043771043773,0.020202020202020204,0.087542087542087546,0.15151515151515152,0.14309764309764308,0.060606060606060608,0.015151515151515152,0.030303030303030304,0.035353535353535352,0.023569023569023569,0.10437710437710437,0.020202020202020204,0.013468013468013467,0.0033670033670033669,0.013468013468013467,0.011784511784511785
0.23770491803278687,0.024590163934426229,0.061475409836065573,0.016393442622950821,0.090163934426229511,0.14344262295081966,0.11475409836065574,0.061475409836065573,0.020491803278688523,0.024590163934426229,0.040983606557377046,0.020491803278688523,0.11885245901639344,0.012295081967213115,0.0040983606557377051,0,0.0081967213114754103,0
0.20168067226890757,0,0.067226890756302518,0.025210084033613446,0.058823529411764705,0.14285714285714285,0.17647058823529413,0.067226890756302518,0.033613445378151259,0.067226890756302518,0.0084033613445378148,0.01680672268907563,0.11764705882352941,0.0084033613445378148,0,0,0,0.0084033613445378148
0.21893491124260356,0.029585798816568046,0.053254437869822487,0,0.076923076923076927,0.20710059171597633,0.1242603550295858,0.065088757396449703,0.017751479289940829,0.029585798816568046,0.053254437869822487,0.0059171597633136093,0.065088757396449703,0.029585798816568046,0.0059171597633136093,0,0.0059171597633136093,0.011834319526627219
0.17518248175182483,0,0.051094890510948905,0.021897810218978103,0.10948905109489052,0.16788321167883211,0.15328467153284672,0.043795620437956206,0.0072992700729927005,0.051094890510948905,0.043795620437956206,0.043795620437956206,0.080291970802919707,0.014598540145985401,0.036496350364963501,0,0,0
0.17999999999999999,0,0.059999999999999998,0.029999999999999999,0.089999999999999997,0.11,0.14000000000000001,0.089999999999999997,0.029999999999999999,0.040000000000000001,0.029999999999999999,0.01,0.14999999999999999,0.02,0,0,0.01,0.01
0.15803108808290156,0.02072538860103627,0.046632124352331605,0.012953367875647668,0.10880829015544041,0.16580310880829016,0.11917098445595854,0.067357512953367879,0.038860103626943004,0.025906735751295335,0.025906735751295335,0.028497409326424871,0.12176165803108809,0.03367875647668394,0.0077720207253886009,0.0051813471502590676,0.0051813471502590676,0.0077720207253886009
0.20430107526881722,0,0.032258064516129031,0.021505376344086023,0.096774193548387094,0.13978494623655913,0.12903225806451613,0.075268817204301078,0.043010752688172046,0.043010752688172046,0.043010752688172046,0.053763440860215055,0.064516129032258063,0.021505376344086023,0.021505376344086023,0,0.010752688172043012,0
0.21621621621621623,0,0,0,0.13513513513513514,0.13513513513513514,0.1891891891891892,0.054054054054054057,0,0.027027027027027029,0,0,0.1891891891891892,0.027027027027027029,0.027027027027027029,0,0,0
0.055555555555555552,0.055555555555555552,0.055555555555555552,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0,0,0.055555555555555552,0.055555555555555552,0,0.22222222222222221,0,0,0,0,0
0.1388888888888889,0.055555555555555552,0.055555555555555552,0,0.083333333333333329,0.1111111111111111,0.055555555555555552,0.027777777777777776,0.1111111111111111,0.083333333333333329,0.083333333333333329,0.027777777777777776,0.1388888888888889,0.027777777777777776,0,0,0,0
0.25806451612903225,0.032258064516129031,0,0,0.096774193548387094,0.12903225806451613,0.19354838709677419,0.064516129032258063,0.032258064516129031,0.064516129032258063,0.032258064516129031,0,0.064516129032258063,0,0,0,0,0.032258064516129031
