LNL,LNN,LNS,LHL,LHN,LHS,MNL,MNN,MNS,MHL,MHN,MHS,HNL,HNN,HNS,HHL,HHN,HHS
0.104622871046229,0.116788321167883,0.0681265206812652,0.0194647201946472,0.0121654501216545,0.0121654501216545,0.145985401459854,0.218978102189781,0.097323600973236,0.0267639902676399,0.0316301703163017,0.0194647201946472,0.0437956204379562,0.0413625304136253,0.0170316301703163,0.0072992700729927,0.0097323600973236,0.0072992700729927
0.0875420875420875,0.143097643097643,0.0606060606060606,0.0134680134680135,0.0235690235690236,0.0134680134680135,0.151515151515152,0.208754208754209,0.104377104377104,0.0151515151515152,0.0353535353535354,0.0202020202020202,0.0303030303030303,0.0437710437710438,0.0202020202020202,0.0117845117845118,0.0134680134680135,0.00336700336700337
0.0901639344262295,0.114754098360656,0.0614754098360656,0.0245901639344262,0.0204918032786885,0.00409836065573771,0.14344262295082,0.237704918032787,0.118852459016393,0.0204918032786885,0.040983606557377,0.0163934426229508,0.0245901639344262,0.0614754098360656,0.0122950819672131,0,0.00819672131147541,0
0.135593220338983,0.135593220338983,0.0847457627118644,0,0.0169491525423729,0,0.0847457627118644,0.23728813559322,0.0847457627118644,0.0508474576271186,0.0508474576271186,0.0169491525423729,0.0677966101694915,0,0.0338983050847458,0,0,0
0.09,0.14,0.09,0,0.01,0,0.11,0.18,0.15,0.03,0.03,0.03,0.04,0.06,0.02,0.01,0.01,0
0.135135135135135,0.189189189189189,0.0540540540540541,0,0,0.027027027027027,0.135135135135135,0.216216216216216,0.189189189189189,0,0,0,0.027027027027027,0,0.027027027027027,0,0,0
0.101208459214502,0.129909365558912,0.0619335347432024,0.0166163141993958,0.0166163141993958,0.00302114803625378,0.161631419939577,0.202416918429003,0.108761329305136,0.0287009063444109,0.0332326283987915,0.0151057401812689,0.040785498489426,0.0498489425981873,0.0151057401812689,0.00453172205438067,0.00604229607250755,0.00453172205438067
0.104018912529551,0.148936170212766,0.0650118203309693,0.0200945626477541,0.0106382978723404,0.008274231678487,0.171394799054374,0.195035460992908,0.0803782505910166,0.0236406619385343,0.041371158392435,0.0141843971631206,0.0366430260047281,0.0508274231678487,0.0189125295508274,0.00118203309692671,0.00591016548463357,0.00354609929078014
0.10880829015544,0.119170984455959,0.0673575129533679,0.0207253886010363,0.0284974093264249,0.0077720207253886,0.16580310880829,0.158031088082902,0.121761658031088,0.038860103626943,0.0259067357512953,0.0129533678756477,0.0259067357512953,0.0466321243523316,0.0336787564766839,0.0077720207253886,0.00518134715025907,0.00518134715025907
0.0588235294117647,0.176470588235294,0.0672268907563025,0,0.0168067226890756,0,0.142857142857143,0.201680672268908,0.117647058823529,0.0336134453781513,0.00840336134453781,0.0252100840336134,0.0672268907563025,0.0672268907563025,0.00840336134453781,0.00840336134453781,0,0
0.109489051094891,0.153284671532847,0.0437956204379562,0,0.0437956204379562,0.0364963503649635,0.167883211678832,0.175182481751825,0.0802919708029197,0.0072992700729927,0.0437956204379562,0.0218978102189781,0.0510948905109489,0.0510948905109489,0.0145985401459854,0,0,0
0.145454545454545,0.163636363636364,0.0909090909090909,0,0.0363636363636364,0,0.109090909090909,0.181818181818182,0.109090909090909,0.0363636363636364,0,0,0.0363636363636364,0.0181818181818182,0.0545454545454545,0,0.0181818181818182,0
0.0769230769230769,0.124260355029586,0.0650887573964497,0.029585798816568,0.00591715976331361,0.00591715976331361,0.207100591715976,0.218934911242604,0.0650887573964497,0.0177514792899408,0.0532544378698225,0,0.029585798816568,0.0532544378698225,0.029585798816568,0.0118343195266272,0.00591715976331361,0
0.102941176470588,0.151960784313725,0.0686274509803922,0.0147058823529412,0.0147058823529412,0.00980392156862745,0.147058823529412,0.205882352941176,0.112745098039216,0.0147058823529412,0.0343137254901961,0.0147058823529412,0.0245098039215686,0.0490196078431373,0.0196078431372549,0.00980392156862745,0.00490196078431373,0
0.0967741935483871,0.129032258064516,0.0752688172043011,0,0.0537634408602151,0.021505376344086,0.139784946236559,0.204301075268817,0.0645161290322581,0.043010752688172,0.043010752688172,0.021505376344086,0.043010752688172,0.032258064516129,0.021505376344086,0,0.010752688172043,0
0.0967741935483871,0.193548387096774,0.0645161290322581,0.032258064516129,0,0,0.129032258064516,0.258064516129032,0.0645161290322581,0.032258064516129,0.032258064516129,0,0.0645161290322581,0,0,0.032258064516129,0,0
0.0833333333333333,0.0555555555555556,0.0277777777777778,0.0555555555555556,0.0277777777777778,0,0.111111111111111,0.138888888888889,0.138888888888889,0.111111111111111,0.0833333333333333,0,0.0833333333333333,0.0555555555555556,0.0277777777777778,0,0,0
0.166666666666667,0.166666666666667,0,0.0555555555555556,0,0,0.166666666666667,0.0555555555555556,0.222222222222222,0,0.0555555555555556,0,0.0555555555555556,0.0555555555555556,0,0,0,0
